id,rule_name,package_name,session_type,price,sessions,sessions_per_pack,unit_price,coach_percentage,bgm_percentage,management_percentage,mfc_percentage,pricing_type,per_week,fixed_rate,match_offering_patterns,allow_late_payment_window_days,is_fixed_rate,allow_discounts,notes,created_at,updated_at,attendance_alias,payment_memo_alias
22,Junior Pay Monthly - 4x Week,Junior Pay Monthly - 4x Week,group,84.11,,17.2,4.89,43.5,30,8.5,18,monthly,4,0,,,FALSE,TRUE,unit_price=price/(4.3*4),,,Junior Pay Monthly - 4x Week,Junior Pay Monthly - 4x Week
23,65€ One Month Unlimited Plan,65€ One Month Unlimited Plan,group,60.75,0,0,5.24,43.5,30,8.5,18,,0,0,,,,,"fixed per attendance: coach=2.28, mgmt=0.45, bgm=1.57",2025-09-11T19:26:00.072Z,2025-09-11T19:26:00.072Z,65€ One Month Unlimited Plan,65€ One Month Unlimited Plan
24,StrikeZone - PAY AS YOU GO: Day Pass,StrikeZone - PAY AS YOU GO: Day Pass,group,23.36,3,3,7.79,43.5,30,8.5,18,,0,0,,,,TRUE,,2025-09-11T19:16:55.915Z,2025-09-11T19:16:55.915Z,StrikeZone - PAY AS YOU GO: Day Pass,StrikeZone - PAY AS YOU GO: Day Pass
25,StrikeZone - PAY AS YOU GO: Day Pass x 5,StrikeZone - PAY AS YOU GO: Day Pass x 5,group,102.8,15,15,6.85,43.5,30,8.5,18,,0,0,,,,TRUE,,2025-09-11T19:17:20.503Z,2025-09-11T19:17:20.503Z,StrikeZone - PAY AS YOU GO: Day Pass x 5,StrikeZone - PAY AS YOU GO: Day Pass x 5
26,StrikeZone - PAY AS YOU GO: Day Pass x 10,StrikeZone - PAY AS YOU GO: Day Pass x 10,group,196.26,30,30,6.54,43.5,30,8.5,18,,0,0,,,,TRUE,,2025-09-11T19:17:08.423Z,2025-09-11T19:17:08.423Z,StrikeZone - PAY AS YOU GO: Day Pass x 10,StrikeZone - PAY AS YOU GO: Day Pass x 10
27,StrikeZone - 3 x WEEK,StrikeZone - 3 x WEEK,group,485.98,,72,6.75,43.5,30,8.5,18,program,,0,,,FALSE,TRUE,price/8/3/3,,,StrikeZone - 3 x WEEK,StrikeZone - 3 x WEEK
28,StrikeZone - 4 x WEEK,StrikeZone - 4 x WEEK,group,598.13,,96,6.23,43.5,30,8.5,18,program,,0,,,FALSE,TRUE,price/8/4/3,,,StrikeZone - 4 x WEEK,StrikeZone - 4 x WEEK
29,StrikeZone - 5 x WEEK,StrikeZone - 5 x WEEK,group,710.28,,120,5.92,43.5,30,8.5,18,program,,0,,,FALSE,TRUE,price/8/5/3,,,StrikeZone - 5 x WEEK,StrikeZone - 5 x WEEK
30,LevelOne - PAY AS YOU GO: Day Pass,LevelOne - PAY AS YOU GO: Day Pass,group,21.03,4,4,5.26,43.5,30,8.5,18,,0,0,,,,,,2025-09-11T19:09:12.156Z,2025-09-11T19:09:12.156Z,LevelOne - PAY AS YOU GO: Day Pass,LevelOne - PAY AS YOU GO: Day Pass
31,LevelOne - PAY AS YOU GO: Day Pass x 5,LevelOne - PAY AS YOU GO: Day Pass x 5,group,93.46,20,20,4.67,43.5,30,8.5,18,,0,0,,,,,,2025-09-11T19:10:57.084Z,2025-09-11T19:10:57.084Z,LevelOne - PAY AS YOU GO: Day Pass x 5,LevelOne - PAY AS YOU GO: Day Pass x 5
32,LevelOne - PAY AS YOU GO: Day Pass x 10,LevelOne - PAY AS YOU GO: Day Pass x 10,group,177.57,40,40,4.44,43.5,30,8.5,18,,0,0,,,,,,2025-09-11T19:10:53.297Z,2025-09-11T19:10:53.297Z,LevelOne - PAY AS YOU GO: Day Pass x 10,LevelOne - PAY AS YOU GO: Day Pass x 10
33,LevelOne - FULL SUMMER: 3 x per week,LevelOne - FULL SUMMER: 3 x per week,group,411.21,96,96,4.28,43.5,30,8.5,18,,0,0,,,,,price/8/3/4,2025-09-11T19:06:46.903Z,2025-09-11T19:06:46.903Z,LevelOne - FULL SUMMER: 3 x per week,LevelOne - FULL SUMMER: 3 x per week
34,LevelOne - FULL SUMMER: 4 x per week,LevelOne - FULL SUMMER: 4 x per week,group,523.36,128,128,4.09,43.5,30,8.5,18,,0,0,,,,,price/8/4/4,2025-09-11T19:06:50.362Z,2025-09-11T19:06:50.362Z,LevelOne - FULL SUMMER: 4 x per week,LevelOne - FULL SUMMER: 4 x per week
35,LevelOne - FULL SUMMER: 5 x per week,LevelOne - FULL SUMMER: 5 x per week,group,635.51,160,160,3.97,43.5,30,8.5,18,,0,0,,,,,price/8/5/4,2025-09-11T19:06:55.422Z,2025-09-11T19:06:55.422Z,LevelOne - FULL SUMMER: 5 x per week,LevelOne - FULL SUMMER: 5 x per week
36,1 to 1 Private Combat Sessions: 45 MIN TRIAL,1 to 1 Private Combat Sessions: 45 MIN TRIAL,private,23.36,1,1,23.36,80,15,0,5,,0,0,,,,TRUE,Old 1 to 1 Pricing,2025-09-11T19:28:15.645Z,2025-09-11T19:28:15.645Z,1 to 1 Private Combat Sessions: 45 MIN TRIAL,1 to 1 Private Combat Sessions: 45 MIN TRIAL
